HSI #,Site Name,Lattitude,Longitude,Address,City,County,List Date,Class,Site Summary,Investigation/ Cleanup Funding,Icon
10291,Coweta County Landfill - Ishman Ballard Rd Phase 1A,33.36889,-84.85667,Ishman Ballard Rd.,Newnan,Coweta,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10291/download,L,small_green 
10292,Crymes Landfill,33.87194,-84.18528,6321 Lawrenceville Hwy,Tucker,Gwinnett,2/5/97,I,https://epd.georgia.gov/document/pdf/23-10292/download,RP,small_red
10294,Walker Road Landfill (formerly 11th Street Landfill),32.79889,-83.61056,2027 Walker Swamp Road,Macon,Bibb,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10294/download,L,small_green 
10297,Ben Gober Landfill,33.87583,-84.17778,411 Mimosa Dr. (off US 29),Tucker,Gwinnett,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10297/download,A,small_yellow
10304,Old City Landfill,31.89667,-82.58833,Intersection of Amanda Thomas Rd. and Barney Rd.,Hazlehurst,Jeff Davis,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10304/download,L,small_green 
10305,Old Hazlehurst Solid Waste Disposal Site,31.90028,-82.59722,McEachin Landing Road,Hazlehurst,Jeff Davis,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10305/download,L,small_green 
10308,Allied Industrial Park - NPL Site,32.77694,-83.64333,600 Guy Paine Road,Macon,Bibb,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10308/download,RP,small_red
10310,Polk County Landfill,34.00694,-85.16472,US Hwy 278 (4.4 miles east of Cedartown),Cedartown,Polk,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10310/download,L,small_green 
10311,Production Anodizing Corp./D.H. Farms,31.11889,-83.43806,1460 Industrial Blvd.,Adel,Cook,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10311/download,RP,small_red
10317,T Street Dump,31.16556,-81.50833,West end of T Street,Brunswick,Glynn,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10317/download,RP,small_red
10324,"Forstmann & Company, Inc. (TCE spill)",32.53472,-82.87972,161 Nathaniel Drive,East Dublin,Laurens,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10324/download,A,small_yellow
10327,Palmetto Tire Fire,33.51000,-84.72472,0 Marcy Lane,Palmetto,Coweta,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10327/download,A,small_yellow
10329,Mathis Brothers - South Marbletop Road Landfill - NPL Site,34.79722,-85.37778,South Marble Top Road,Lafayette,Walker,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10329/download,RP,small_red
10330,Cedartown Industries - NPL Site,34.00889,-85.26444,404 South Furnace Street,Cedartown,Polk,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10330/download,RP,small_red
10333,"Apollo Industries, Inc.",33.83722,-84.50083,1850 South Cobb Industrial Blvd,Smyrna,Cobb,8/15/94,V,https://epd.georgia.gov/document/pdf/23-10333/download,RP,small_red
