Id,Label,date,lat,long,name,node_class,site_class
10288,Columbus Municipal Landfill,6/29/94,32.39389,-84.96583,Columbus Municipal Landfill,Site,L
10289,Cordele-Crisp City-County Landfill,6/29/94,31.86528,-83.75167,Cordele-Crisp City-County Landfill,Site,L
10291,Coweta County Landfill - Ishman Ballard Rd Phase 1A,6/29/94,33.36889,-84.85667,Coweta County Landfill - Ishman Ballard Rd Phase 1A,Site,L
10292,Crymes Landfill,2/5/97,33.87194,-84.18528,Crymes Landfill,Site,RP
10294,Walker Road Landfill (formerly 11th Street Landfill),6/29/94,32.79889,-83.61056,Walker Road Landfill (formerly 11th Street Landfill),Site,L
10297,Ben Gober Landfill,6/29/94,33.87583,-84.17778,Ben Gober Landfill,Site,A
10304,Old City Landfill,6/29/94,31.89667,-82.58833,Old City Landfill,Site,L
10305,Old Hazlehurst Solid Waste Disposal Site,6/29/94,31.90028,-82.59722,Old Hazlehurst Solid Waste Disposal Site,Site,L
10308,Allied Industrial Park - NPL Site,6/29/94,32.77694,-83.64333,Allied Industrial Park - NPL Site,Site,RP
10310,Polk County Landfill,6/29/94,34.00694,-85.16472,Polk County Landfill,Site,L
10311,Production Anodizing Corp./D.H. Farms,6/29/94,31.11889,-83.43806,Production Anodizing Corp./D.H. Farms,Site,RP
10317,T Street Dump,6/29/94,31.16556,-81.50833,T Street Dump,Site,RP
10324,"Forstmann & Company, Inc. (TCE spill)",6/29/94,32.53472,-82.87972,"Forstmann & Company, Inc. (TCE spill)",Site,A
10327,Palmetto Tire Fire,6/29/94,33.51,-84.72472,Palmetto Tire Fire,Site,A
10329,Mathis Brothers - South Marbletop Road Landfill - NPL Site,6/29/94,34.79722,-85.37778,Mathis Brothers - South Marbletop Road Landfill - NPL Site,Site,RP
10330,Cedartown Industries - NPL Site,6/29/94,34.00889,-85.26444,Cedartown Industries - NPL Site,Site,RP
10333,"Apollo Industries, Inc.",8/15/94,33.83722,-84.50083,"Apollo Industries, Inc.",Site,RP
10334,"Polychem, LTD",10/4/94,34.84361,-84.98028,"Polychem, LTD",Site,RP
10337,Wallace Lake Road Dump,10/17/94,33.72167,-84.70556,Wallace Lake Road Dump,Site,A
10340,"CPI Plastics, L.L.C.",10/17/94,33.34306,-84.79361,"CPI Plastics, L.L.C.",Site,RP
10346,"SAFT America, Inc.",11/22/94,30.80222,-83.28778,"SAFT America, Inc.",Site,RP
10348,Bumper Distributors of Atlanta,11/23/94,33.74333,-84.40889,Bumper Distributors of Atlanta,Site,A
10351,ARAMARK Uniform Services,11/29/94,32.06583,-81.04583,ARAMARK Uniform Services,Site,RP
