"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US13129","Gordon County, Georgia","57756","*****","*****","null","48960","843","null","null","2348","294","null","null","715","513","null","null","694","125","null","null","77","107","null","null","2912","null","831","null","2050","529","null","null","957","435","null","null","1093","289","null","null",
"0500000US13131","Grady County, Georgia","24693","*****","*****","null","15910","439","null","null","7203","162","null","null","116","81","null","null","152","12","null","null","11","22","null","null","76","null","92","null","1225","410","null","null","3","5","null","null","1222","411","null","null",
"0500000US13133","Greene County, Georgia","17808","*****","*****","null","10486","173","null","null","6146","31","null","null","0","22","null","null","202","22","null","null","4","8","null","null","697","null","265","null","273","192","null","null","258","189","null","null","15","15","null","null",
"0500000US13135","Gwinnett County, Georgia","926414","*****","*****","null","420220","4661","null","null","260366","2624","null","null","3619","826","null","null","112541","1119","null","null","412","518","null","null","79446","null","5290","null","49810","4444","null","null","23380","3957","null","null","26430","2676","null","null",
"0500000US13137","Habersham County, Georgia","45204","*****","*****","null","38422","731","null","null","1196","182","null","null","73","78","null","null","977","146","null","null","321","419","null","null","2276","null","674","null","1939","519","null","null","780","463","null","null","1159","226","null","null",
"0500000US13139","Hall County, Georgia","201434","21","null","null","162231","1587","null","null","14476","645","null","null","518","238","null","null","3836","242","null","null","21","24","null","null","8179","null","1455","null","12173","1556","null","null","8086","1370","null","null","4087","897","null","null",
"0500000US13141","Hancock County, Georgia","8500","*****","*****","null","2088","21","null","null","6140","148","null","null","0","20","null","null","121","131","null","null","12","23","null","null","101","null","60","null","38","37","null","null","0","20","null","null","38","37","null","null",
"0500000US13143","Haralson County, Georgia","29608","*****","*****","null","27222","147","null","null","1287","225","null","null","40","49","null","null","248","76","null","null","0","26","null","null","171","null","123","null","640","258","null","null","43","49","null","null","597","256","null","null",
"0500000US13145","Harris County, Georgia","34676","*****","*****","null","27450","172","null","null","5545","164","null","null","40","36","null","null","228","139","null","null","2","4","null","null","346","null","164","null","1065","218","null","null","71","55","null","null","994","211","null","null",
"0500000US13147","Hart County, Georgia","25981","*****","*****","null","19952","224","null","null","5093","154","null","null","147","193","null","null","251","93","null","null","0","26","null","null","124","null","117","null","414","210","null","null","70","80","null","null","344","197","null","null",
"0500000US13149","Heard County, Georgia","11785","*****","*****","null","10222","68","null","null","998","152","null","null","0","22","null","null","97","93","null","null","16","22","null","null","37","null","50","null","415","171","null","null","66","68","null","null","349","149","null","null",
"0500000US13151","Henry County, Georgia","229994","*****","*****","null","104473","1583","null","null","104872","1314","null","null","226","161","null","null","7829","430","null","null","0","33","null","null","3670","null","1178","null","8924","1418","null","null","1584","620","null","null","7340","1367","null","null",
"0500000US13153","Houston County, Georgia","155317","*****","*****","null","92182","847","null","null","48639","1057","null","null","935","404","null","null","5211","362","null","null","276","237","null","null","1541","null","567","null","6533","1234","null","null","1493","485","null","null","5040","1077","null","null",
"0500000US13155","Irwin County, Georgia","9379","*****","*****","null","6564","76","null","null","2707","100","null","null","34","55","null","null","39","56","null","null","0","20","null","null","18","null","31","null","17","26","null","null","17","26","null","null","0","20","null","null",
"0500000US13157","Jackson County, Georgia","70467","*****","*****","null","60046","713","null","null","4912","233","null","null","11","13","null","null","1255","215","null","null","24","28","null","null","1797","null","667","null","2422","500","null","null","699","385","null","null","1723","474","null","null",
"0500000US13159","Jasper County, Georgia","14074","*****","*****","null","10593","144","null","null","2772","124","null","null","15","24","null","null","23","40","null","null","0","22","null","null","409","null","124","null","262","127","null","null","45","71","null","null","217","104","null","null",
"0500000US13161","Jeff Davis County, Georgia","15063","*****","*****","null","11435","375","null","null","2463","119","null","null","0","22","null","null","38","59","null","null","0","22","null","null","551","null","318","null","576","364","null","null","521","333","null","null","55","93","null","null",
"0500000US13163","Jefferson County, Georgia","15489","*****","*****","null","6770","136","null","null","8210","90","null","null","21","21","null","null","58","64","null","null","0","22","null","null","257","null","125","null","173","100","null","null","75","66","null","null","98","75","null","null",
"0500000US13165","Jenkins County, Georgia","8787","*****","*****","null","5101","539","null","null","3127","556","null","null","183","181","null","null","63","77","null","null","0","20","null","null","186","null","245","null","127","138","null","null","27","48","null","null","100","120","null","null",
"0500000US13167","Johnson County, Georgia","9717","*****","*****","null","6204","71","null","null","3291","88","null","null","0","20","null","null","19","29","null","null","0","20","null","null","36","null","35","null","167","101","null","null","32","64","null","null","135","85","null","null",
"0500000US13169","Jones County, Georgia","28622","*****","*****","null","20684","105","null","null","7011","231","null","null","46","43","null","null","175","60","null","null","0","26","null","null","92","null","89","null","614","254","null","null","65","64","null","null","549","254","null","null",
"0500000US13171","Lamar County, Georgia","18834","*****","*****","null","12574","215","null","null","5348","492","null","null","6","12","null","null","103","98","null","null","0","22","null","null","118","null","229","null","685","485","null","null","11","22","null","null","674","486","null","null",
"0500000US13173","Lanier County, Georgia","10534","*****","*****","null","7642","210","null","null","2426","191","null","null","15","26","null","null","50","70","null","null","0","22","null","null","57","null","69","null","344","244","null","null","173","203","null","null","171","131","null","null",
"0500000US13175","Laurens County, Georgia","47404","*****","*****","null","27385","556","null","null","17834","183","null","null","108","137","null","null","520","54","null","null","9","16","null","null","1140","null","569","null","408","173","null","null","78","62","null","null","330","156","null","null",
"0500000US13177","Lee County, Georgia","29735","*****","*****","null","21401","132","null","null","6451","206","null","null","35","45","null","null","676","102","null","null","41","49","null","null","180","null","82","null","951","262","null","null","403","149","null","null","548","223","null","null",
"0500000US13179","Liberty County, Georgia","62039","*****","*****","null","27121","439","null","null","25241","779","null","null","313","98","null","null","1179","195","null","null","324","6","null","null","2482","null","473","null","5379","842","null","null","1379","365","null","null","4000","745","null","null",
"0500000US13181","Lincoln County, Georgia","7929","*****","*****","null","5357","79","null","null","2382","90","null","null","4","7","null","null","8","18","null","null","3","6","null","null","73","null","79","null","102","87","null","null","22","35","null","null","80","76","null","null",
"0500000US13183","Long County, Georgia","19236","*****","*****","null","11747","373","null","null","4832","346","null","null","45","55","null","null","129","118","null","null","67","78","null","null","1194","null","362","null","1222","375","null","null","225","127","null","null","997","377","null","null",
"0500000US13185","Lowndes County, Georgia","116436","*****","*****","null","64981","515","null","null","42998","404","null","null","623","342","null","null","1711","285","null","null","138","125","null","null","2493","null","553","null","3492","599","null","null","397","252","null","null","3095","538","null","null",
"0500000US13187","Lumpkin County, Georgia","33009","*****","*****","null","31109","275","null","null","694","267","null","null","127","63","null","null","270","44","null","null","25","47","null","null","347","null","290","null","437","282","null","null","17","23","null","null","420","286","null","null",
